X (cm)	Y (cm)	Z
0.150000	1.050000	68.384399
-0.000000	1.050000	74.317955
-0.150000	1.050000	80.576035
-0.300000	1.050000	87.206085
-0.450000	1.050000	93.871674
-0.600000	1.050000	100.583122
-0.750000	1.050000	107.008072
-0.900000	1.050000	113.039940
-1.050000	1.050000	118.344177
-1.200000	1.050000	122.813255
-1.350000	1.050000	126.139694
-1.500000	1.050000	128.355255
-1.650000	1.050000	129.125595
-1.800000	1.050000	128.529877
-1.950000	1.050000	126.756447
-1.950000	0.900000	136.491013
-1.800000	0.900000	138.500580
-1.650000	0.900000	139.212341
-1.500000	0.900000	138.388763
-1.350000	0.900000	136.033020
-1.200000	0.900000	132.417694
-1.050000	0.900000	127.583031
-0.900000	0.900000	121.701149
-0.750000	0.900000	115.066284
-0.600000	0.900000	108.000198
-0.450000	0.900000	100.552979
-0.300000	0.900000	93.202576
-0.150000	0.900000	85.886658
0.000000	0.900000	79.007973
0.150000	0.900000	72.405746
0.300000	0.900000	66.396538
0.450000	0.900000	60.688759
0.600000	0.900000	55.433178
0.750000	0.900000	50.650810
0.900000	0.900000	46.263023
1.050000	0.900000	42.308956
1.200000	0.900000	38.679016
1.350000	0.900000	35.360500
1.500000	0.900000	32.333359
1.650000	0.900000	29.568394
1.800000	0.900000	27.053833
1.950000	0.900000	24.770977
2.100000	0.900000	22.718102
2.250000	0.750000	21.307964
2.100000	0.750000	23.300018
1.950000	0.750000	25.429462
1.800000	0.750000	27.814220
1.650000	0.750000	30.430767
1.500000	0.750000	33.318672
1.350000	0.750000	36.476482
1.200000	0.750000	39.939331
1.050000	0.750000	43.759674
0.900000	0.750000	47.934700
0.750000	0.750000	52.577869
0.600000	0.750000	57.645458
0.450000	0.750000	63.256958
0.300000	0.750000	69.290199
0.150000	0.750000	75.811783
-0.000000	0.750000	82.833481
-0.150000	0.750000	90.262566
-0.300000	0.750000	98.174866
-0.450000	0.750000	106.106155
-0.600000	0.750000	114.130478
-0.750000	0.750000	121.746353
-0.900000	0.750000	128.871185
-1.050000	0.750000	135.162201
-1.200000	0.750000	140.427734
-1.350000	0.750000	144.276825
-1.500000	0.750000	146.710480
-1.650000	0.750000	147.475525
-1.800000	0.750000	146.637146
-1.950000	0.750000	144.456802
-2.100000	0.600000	146.332062
-1.950000	0.600000	150.131607
-1.800000	0.600000	152.505463
-1.650000	0.600000	153.268173
-1.500000	0.600000	152.692429
-1.350000	0.600000	150.216278
-1.200000	0.600000	146.229355
-1.050000	0.600000	140.772934
-0.900000	0.600000	134.145706
-0.750000	0.600000	126.609596
-0.600000	0.600000	118.598412
-0.450000	0.600000	110.194298
-0.300000	0.600000	101.827385
-0.150000	0.600000	93.539536
0.000000	0.600000	85.686241
0.150000	0.600000	78.313843
0.300000	0.600000	71.430626
0.450000	0.600000	65.134132
0.600000	0.600000	59.277412
0.750000	0.600000	53.995491
0.900000	0.600000	49.133896
1.050000	0.600000	44.840378
1.200000	0.600000	40.875820
1.350000	0.600000	37.329510
1.500000	0.600000	34.060261
1.650000	0.600000	31.097317
1.800000	0.600000	28.396976
1.950000	0.600000	25.956644
2.100000	0.600000	23.760677
2.250000	0.600000	21.772436
2.250000	0.450000	22.014719
2.100000	0.450000	23.993525
1.950000	0.450000	26.228174
1.800000	0.450000	28.702841
1.650000	0.450000	31.439505
1.500000	0.450000	34.435516
1.350000	0.450000	37.758781
1.200000	0.450000	41.374039
1.050000	0.450000	45.387909
0.900000	0.450000	49.819328
0.750000	0.450000	54.744751
0.600000	0.450000	60.134117
0.450000	0.450000	66.123535
0.300000	0.450000	72.582520
0.150000	0.450000	79.631279
-0.000000	0.450000	87.189529
-0.150000	0.450000	95.237343
-0.300000	0.450000	103.743851
-0.450000	0.450000	112.346817
-0.600000	0.450000	120.908020
-0.750000	0.450000	129.147720
-0.900000	0.450000	136.841751
-1.050000	0.450000	143.629532
-1.200000	0.450000	149.209442
-1.350000	0.450000	153.316132
-1.500000	0.450000	155.656158
-1.650000	0.450000	156.266327
-1.800000	0.450000	155.456223
-1.950000	0.450000	152.934097
-2.100000	0.450000	149.018463
-2.100000	0.300000	148.524384
-1.950000	0.300000	152.362366
-1.800000	0.300000	154.936600
-1.650000	0.300000	155.968338
-1.500000	0.300000	155.287903
-1.350000	0.300000	152.924713
-1.200000	0.300000	148.902908
-1.050000	0.300000	143.388641
-0.900000	0.300000	136.687485
-0.750000	0.300000	128.942688
-0.600000	0.300000	120.826645
-0.450000	0.300000	112.239365
-0.300000	0.300000	103.676880
-0.150000	0.300000	95.214203
0.000000	0.300000	87.154892
0.150000	0.300000	79.633934
0.300000	0.300000	72.549240
0.450000	0.300000	66.117897
0.600000	0.300000	60.215504
0.750000	0.300000	54.748634
0.900000	0.300000	49.891220
1.050000	0.300000	45.452438
1.200000	0.300000	41.450043
1.350000	0.300000	37.821377
1.500000	0.300000	34.513878
1.650000	0.300000	31.527996
1.800000	0.300000	28.780304
1.950000	0.300000	26.311930
2.100000	0.300000	24.081671
2.250000	0.300000	22.056660
2.250000	0.150000	21.969196
2.100000	0.150000	23.907665
1.950000	0.150000	26.121952
1.800000	0.150000	28.552256
1.650000	0.150000	31.279202
1.500000	0.150000	34.199215
1.350000	0.150000	37.458832
1.200000	0.150000	41.001431
1.050000	0.150000	44.958282
0.900000	0.150000	49.305580
0.750000	0.150000	54.111500
0.600000	0.150000	59.395252
0.450000	0.150000	65.188614
0.300000	0.150000	71.511787
0.150000	0.150000	78.309868
-0.000000	0.150000	85.678505
-0.150000	0.150000	93.397697
-0.300000	0.150000	101.644249
-0.450000	0.150000	109.905472
-0.600000	0.150000	118.215744
-0.750000	0.150000	126.111168
-0.900000	0.150000	133.544098
-1.050000	0.150000	140.015991
-1.200000	0.150000	145.325562
-1.350000	0.150000	149.181107
-1.500000	0.150000	151.448242
-1.650000	0.150000	152.041016
-1.800000	0.150000	151.054047
-1.950000	0.150000	148.738174
-2.100000	0.150000	144.994598
-2.250000	0.000000	134.417694
-2.100000	0.000000	138.931183
-1.950000	0.000000	142.538605
-1.800000	0.000000	144.597443
-1.650000	0.000000	145.581421
-1.500000	0.000000	144.981644
-1.350000	0.000000	142.813324
-1.200000	0.000000	139.195480
-1.050000	0.000000	134.164505
-0.900000	0.000000	128.082367
-0.750000	0.000000	121.052490
-0.600000	0.000000	113.604027
-0.450000	0.000000	105.779053
-0.300000	0.000000	97.960129
-0.150000	0.000000	90.205849
0.000000	0.000000	82.853989
0.150000	0.000000	75.861977
0.300000	0.000000	69.433105
0.450000	0.000000	63.382195
0.600000	0.000000	57.855370
0.750000	0.000000	52.771782
0.900000	0.000000	48.183411
1.050000	0.000000	43.996407
1.200000	0.000000	40.230095
1.350000	0.000000	36.751747
1.500000	0.000000	33.627239
1.650000	0.000000	30.743393
1.800000	0.000000	28.139212
1.950000	0.000000	25.772562
2.100000	0.000000	23.617695
2.250000	0.000000	21.701916
2.400000	0.000000	19.715406
2.250000	-0.150000	21.261187
2.100000	-0.150000	23.133745
1.950000	-0.150000	25.174915
1.800000	-0.150000	27.463659
1.650000	-0.150000	29.969299
1.500000	-0.150000	32.698540
1.350000	-0.150000	35.690556
1.200000	-0.150000	38.896271
1.050000	-0.150000	42.588886
0.900000	-0.150000	46.559441
0.750000	-0.150000	50.873417
0.600000	-0.150000	55.666138
0.450000	-0.150000	60.829834
0.300000	-0.150000	66.507797
0.150000	-0.150000	72.488197
-0.000000	-0.150000	78.990501
-0.150000	-0.150000	85.749367
-0.300000	-0.150000	92.944923
-0.450000	-0.150000	100.134705
-0.600000	-0.150000	107.397995
-0.750000	-0.150000	114.226685
-0.900000	-0.150000	120.739914
-1.050000	-0.150000	126.338478
-1.200000	-0.150000	130.950409
-1.350000	-0.150000	134.323639
-1.500000	-0.150000	136.358688
-1.650000	-0.150000	136.977203
-1.800000	-0.150000	136.158173
-1.950000	-0.150000	134.135590
-2.100000	-0.150000	130.918839
-2.250000	-0.150000	126.746964
-2.250000	-0.300000	117.890114
-2.100000	-0.300000	121.613625
-1.950000	-0.300000	124.415039
-1.800000	-0.300000	126.183189
-1.650000	-0.300000	126.898849
-1.500000	-0.300000	126.326889
-1.350000	-0.300000	124.460938
-1.200000	-0.300000	121.381241
-1.050000	-0.300000	117.181541
-0.900000	-0.300000	112.130516
-0.750000	-0.300000	106.294632
-0.600000	-0.300000	99.969406
-0.450000	-0.300000	93.549332
-0.300000	-0.300000	87.021477
-0.150000	-0.300000	80.585579
0.000000	-0.300000	74.425194
0.150000	-0.300000	68.542862
0.300000	-0.300000	63.016296
0.450000	-0.300000	57.836487
0.600000	-0.300000	53.034180
0.750000	-0.300000	48.612053
0.900000	-0.300000	44.584431
1.050000	-0.300000	40.903851
1.200000	-0.300000	37.522652
1.350000	-0.300000	34.438000
1.500000	-0.300000	31.591553
1.650000	-0.300000	29.013983
1.800000	-0.300000	26.620960
1.950000	-0.300000	24.452921
2.100000	-0.300000	22.488224
2.250000	-0.300000	20.722694
2.250000	-0.450000	20.061659
2.100000	-0.450000	21.718334
1.950000	-0.450000	23.580866
1.800000	-0.450000	25.618488
1.650000	-0.450000	27.862707
1.500000	-0.450000	30.271778
1.350000	-0.450000	32.912659
1.200000	-0.450000	35.795315
1.050000	-0.450000	38.930939
0.900000	-0.450000	42.313934
0.750000	-0.450000	46.017712
0.600000	-0.450000	50.045433
0.450000	-0.450000	54.424896
0.300000	-0.450000	59.118492
