X (cm)	Y (cm)	Z
0.300000	1.050000	156.050461
0.150000	1.050000	171.671295
-0.000000	1.050000	188.327118
-0.150000	1.050000	206.384613
-0.300000	1.050000	225.373322
-0.450000	1.050000	244.933685
-0.600000	1.050000	264.861847
-0.750000	1.050000	284.565002
-0.900000	1.050000	303.210541
-1.050000	1.050000	320.271271
-1.200000	1.050000	334.508148
-1.350000	1.050000	345.263977
-1.500000	1.050000	351.879333
-1.650000	1.050000	353.965210
-1.800000	1.050000	351.220093
-1.950000	1.050000	343.720245
-2.100000	1.050000	331.179474
-2.100000	0.900000	375.129333
-1.950000	0.900000	389.397827
-1.800000	0.900000	398.364075
-1.650000	0.900000	401.889404
-1.500000	0.900000	399.572998
-1.350000	0.900000	391.725616
-1.200000	0.900000	378.842712
-1.050000	0.900000	361.851440
-0.900000	0.900000	341.601288
-0.750000	0.900000	319.265076
-0.600000	0.900000	295.900574
-0.450000	0.900000	272.542328
-0.300000	0.900000	249.494095
-0.150000	0.900000	227.579620
0.000000	0.900000	206.755615
0.150000	0.900000	187.530502
0.300000	0.900000	169.771927
0.450000	0.900000	153.599762
0.600000	0.900000	138.548920
0.750000	0.900000	125.084389
0.900000	0.900000	112.948837
1.050000	0.900000	102.139252
1.200000	0.900000	92.369514
1.350000	0.900000	83.368690
1.500000	0.900000	75.250839
1.650000	0.900000	68.022316
1.800000	0.900000	61.616646
1.950000	0.900000	55.874226
2.100000	0.900000	50.730663
2.250000	0.750000	47.262630
2.100000	0.750000	52.519123
1.950000	0.750000	57.916771
1.800000	0.750000	64.029160
1.650000	0.750000	70.873489
1.500000	0.750000	78.620041
1.350000	0.750000	87.351494
1.200000	0.750000	96.872360
1.050000	0.750000	107.454674
0.900000	0.750000	119.184402
0.750000	0.750000	132.463120
0.600000	0.750000	147.245255
0.450000	0.750000	163.673050
0.300000	0.750000	181.511307
0.150000	0.750000	201.269440
-0.000000	0.750000	222.785767
-0.150000	0.750000	245.954742
-0.300000	0.750000	270.801514
-0.450000	0.750000	296.882385
-0.600000	0.750000	323.781433
-0.750000	0.750000	350.565582
-0.900000	0.750000	376.372864
-1.050000	0.750000	399.846252
-1.200000	0.750000	419.641998
-1.350000	0.750000	434.580017
-1.500000	0.750000	443.618713
-1.650000	0.750000	446.205170
-1.800000	0.750000	442.144379
-1.950000	0.750000	431.712585
-2.100000	0.750000	415.299988
-2.250000	0.750000	392.924835
-2.250000	0.600000	425.317871
-2.100000	0.600000	448.817383
-1.950000	0.600000	467.060852
-1.800000	0.600000	478.701996
-1.650000	0.600000	483.344818
-1.500000	0.600000	480.516785
-1.350000	0.600000	470.408203
-1.200000	0.600000	453.736511
-1.050000	0.600000	431.473694
-0.900000	0.600000	405.257416
-0.750000	0.600000	376.230042
-0.600000	0.600000	346.518494
-0.450000	0.600000	316.720032
-0.300000	0.600000	288.102051
-0.150000	0.600000	260.839630
0.000000	0.600000	235.410187
0.150000	0.600000	212.141937
0.300000	0.600000	190.683380
0.450000	0.600000	171.439850
0.600000	0.600000	153.956436
0.750000	0.600000	138.147675
0.900000	0.600000	123.951012
1.050000	0.600000	111.421341
