X (cm)	Y (cm)	Z
0.300000	1.050000	142.521393
0.150000	1.050000	142.680206
-0.000000	1.050000	142.695404
-0.150000	1.050000	142.560165
-0.300000	1.050000	142.284882
-0.450000	1.050000	141.891403
-0.600000	1.050000	141.407516
-0.750000	1.050000	140.861282
-0.900000	1.050000	140.259430
-1.050000	1.050000	139.582199
-1.200000	1.050000	138.823761
-1.350000	1.050000	137.862396
-1.500000	1.050000	136.668579
-1.650000	1.050000	135.114044
-1.800000	1.050000	133.005539
-1.950000	1.050000	130.296570
-2.100000	1.050000	126.177444
-2.100000	0.900000	128.462692
-1.950000	0.900000	131.675079
-1.800000	0.900000	134.171570
-1.650000	0.900000	136.062195
-1.500000	0.900000	137.445328
-1.350000	0.900000	138.542633
-1.200000	0.900000	139.418900
-1.050000	0.900000	140.181519
-0.900000	0.900000	140.891434
-0.750000	0.900000	141.572433
-0.600000	0.900000	142.208206
-0.450000	0.900000	142.795364
-0.300000	0.900000	143.273926
-0.150000	0.900000	143.612640
0.000000	0.900000	143.780365
0.150000	0.900000	143.753067
0.300000	0.900000	143.554001
0.450000	0.900000	143.181549
0.600000	0.900000	142.687714
0.750000	0.900000	142.125137
0.900000	0.900000	141.507874
1.050000	0.900000	140.860992
1.200000	0.900000	140.190170
1.350000	0.900000	139.421066
1.500000	0.900000	138.495087
1.650000	0.900000	137.291519
1.800000	0.900000	135.695755
1.950000	0.900000	133.499557
2.100000	0.900000	130.513565
2.250000	0.750000	127.607239
2.100000	0.750000	131.749619
1.950000	0.750000	134.458771
1.800000	0.750000	136.458893
1.650000	0.750000	137.915894
1.500000	0.750000	139.017685
1.350000	0.750000	139.903351
1.200000	0.750000	140.674469
1.050000	0.750000	141.402176
0.900000	0.750000	142.131897
0.750000	0.750000	142.858627
0.600000	0.750000	143.536224
0.450000	0.750000	144.138840
0.300000	0.750000	144.593719
0.150000	0.750000	144.861313
-0.000000	0.750000	144.896210
-0.150000	0.750000	144.699142
-0.300000	0.750000	144.291534
-0.450000	0.750000	143.712219
-0.600000	0.750000	143.016708
-0.750000	0.750000	142.262726
-0.900000	0.750000	141.486435
